FID,Bacia,Rio,Unidade da Federação,Município,Responsável,Operadora,Tipo,Código,Estação,Latitude,Longitude,Área de Drenagem (km²),Réguas Linimétricas,Registrador de Nível,Medição de Descarga Líquida,Medição de Sedimentos,Medição de Qualidade da Água,Estação Telemétrica,Operando,Início (Réguas),Início (Registrador de Nível),Início (Descarga Líquida),Início (Sedimentos),Início (Qualidade da Água),Pluviômetro,Registrador de Chuva,Tanque Evaporimétrico,Estação Climatológica,Início (Pluviômetro),Início (Registrador Chuva),Início (Tanque Evaporimétrico),Início (Climatológica),Início (Telemetria),x,y
4864,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,PAUDALHO,ANA,CPRM,Pluviométrica,735066,PAUDALHO,-7.89416666667,-35.1733333333,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,set-67,-,-,-,01/04/2011,-3915477.556168742,-881568.1937067454
4865,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,PAUDALHO,DNOCS,DNOCS,Pluviométrica,735065,PAUDALHO,-7.9,-35.1666666667,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,mar-43,-,-,-,00:00:00,-3914735.426230121,-882223.7746321363
4868,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,PAUDALHO,ANA,CPRM,Pluviométrica,735169,BARRAGEM GLÓRIA DO GOITA,-7.96805555556,-35.1158333333,399,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,01/04/2011,-3909076.6854481287,-889872.9049555273
4874,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,PESQUEIRA,EMATER,EMATER,Pluviométrica,836082,PESQUEIRA,-8.36666666667,-36.7,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,abr-79,-,-,-,00:00:00,-4085425.3121131393,-934700.8596529053
4875,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,PESQUEIRA,INMET,INMET,Pluviométrica,836031,PESQUEIRA,-8.4,-36.7666666667,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Sim,Sim,Sim,set-11,set-11,set-11,set-11,00:00:00,-4092846.611499358,-938451.5867259082
4876,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,PESQUEIRA,APAC-PE,APAC-PE,Pluviométrica,836032,PESQUEIRA,-8.36666666667,-36.7,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,jun-20,-,-,-,00:00:00,-4085425.3121131393,-934700.8596529053
4878,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,POÇÃO,CEMADEN,CEMADEN,Pluviométrica,836105,POÇÃO_Centro,-8.185,-36.7069444444,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-4086198.364132538,-914265.003017068
4879,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,POÇÃO,ANA,CPRM,Pluviométrica,836093,POÇÃO,-8.18944444444,-36.7069444444,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,mar-86,-,-,-,00:00:00,-4086198.364132538,-914764.8507504038
4880,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,POÇÃO,EMATER,EMATER,Pluviométrica,836083,POÇÃO,-8.2,-36.7,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,mar-79,-,-,-,00:00:00,-4085425.3121131402,-915952.0114866449
4881,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,QUIPAPA,CEMADEN,CEMADEN,Pluviométrica,836106,QUIPAPA_Centro,-8.83,-36.0130555556,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-4008955.0063543157,-986865.327870947
4882,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,QUIPAPA,CEMADEN,CEMADEN,Pluviométrica,836107,QUIPAPA_Vila Nova,-8.84388888889,-36.115,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-4020303.4099990753,-988430.0053703312
